word,model,accuracy,f1_macro,ari,silhouette
ಅಕ್ಷರ,MuRIL,0.9025641025641026,0.8954390054390053,0.5861809045226131,0.3541369140148163
ಅಕ್ಷರ,XLM-R,0.7564102564102564,0.7226939073997898,0.015069967707212056,0.15283766388893127
ಅಕ್ಷರ,XL Lexeme,0.8705128205128204,0.8611699574934868,0.5364874551971326,0.3220105767250061
ಅಕ್ಷರ,IndicBERT,0.5564102564102564,0.4125411568136026,-0.009781790820165538,-0.009967809543013573
ಅಡಿ,MuRIL,0.8757352941176471,0.8704231166150672,0.1763913174049779,0.29635778069496155
ಅಡಿ,XLM-R,0.7411764705882353,0.7107343101851111,0.022041864145041227,0.16332314908504486
ಅಡಿ,XL Lexeme,0.8889705882352942,0.8842279229198734,0.35806774122753543,0.38184717297554016
ಅಡಿ,IndicBERT,0.7654411764705882,0.747857991681521,-0.012175980250224776,0.09668219834566116
ಆಟ,MuRIL,0.8615384615384615,0.810874244434616,0.010727995226998976,0.16975487768650055
ಆಟ,XLM-R,0.7384615384615385,0.6296031746031746,0.16527203797943918,0.10270506143569946
ಆಟ,XL Lexeme,0.8461538461538464,0.8002756892230576,0.13408379404516085,0.2898440957069397
ಆಟ,IndicBERT,0.8153846153846154,0.7324551575015971,0.04052313630844967,0.12953805923461914
ಉತ್ತರ,MuRIL,0.872549019607843,0.867617115426713,0.17139068267330482,0.25428318977355957
ಉತ್ತರ,XLM-R,0.6450980392156863,0.6311966980388032,0.018440268483998313,0.06781154125928879
ಉತ್ತರ,XL Lexeme,0.7797385620915034,0.7687921219385749,0.3926501940906465,0.23048657178878784
ಉತ್ತರ,IndicBERT,0.6326797385620916,0.6264423880213353,0.026941323959588013,0.06790884584188461
ಎಳೆ,MuRIL,0.6150326797385621,0.5894021534619193,-0.009570104337851451,0.05818377435207367
ಎಳೆ,XLM-R,0.5346405228758171,0.47755665387244334,-0.006826756093179232,0.005800807848572731
ಎಳೆ,XL Lexeme,0.5941176470588235,0.5735031635031635,-0.009976541378788213,0.03187929466366768
ಎಳೆ,IndicBERT,0.5235294117647059,0.37615332815332814,-0.009570104337851451,-0.009225364774465561
ಕಣ,MuRIL,0.9414285714285715,0.9373253394925222,0.4710895893517902,0.35858169198036194
ಕಣ,XLM-R,0.8338095238095237,0.5922648787226793,0.44723526204987873,0.24657900631427765
ಕಣ,XL Lexeme,0.9609523809523809,0.960454076367389,0.7011846839022022,0.5702918171882629
ಕಣ,IndicBERT,0.5780952380952381,0.4053756866914762,0.12590702326031553,-0.03316429257392883
ಕರ,MuRIL,0.9,0.8994070961718021,0.4840568574721475,0.48352891206741333
ಕರ,XLM-R,0.8625,0.8616619981325864,0.415564451561249,0.37090805172920227
ಕರ,XL Lexeme,0.8625,0.8588072556958005,0.5957671703461696,0.5511875748634338
ಕರ,IndicBERT,0.6,0.5922996027020795,-0.0025637738751442124,0.062126029282808304
ಕರ್ಮ,MuRIL,0.6375,0.6326310686217808,0.038461230278603535,0.04008699953556061
ಕರ್ಮ,XLM-R,0.5375,0.5335854341736695,-0.011207082876377871,0.0011532932985574007
ಕರ್ಮ,XL Lexeme,0.725,0.7200131550595947,0.11136392770157671,0.12884144484996796
ಕರ್ಮ,IndicBERT,0.4375,0.4201727357609711,-0.012114510972766387,-0.017535993829369545
ಕಲೆ,MuRIL,0.7375,0.7328404438698557,-0.009484745612936957,0.16984765231609344
ಕಲೆ,XLM-R,0.48916666666666664,0.4711274509803921,-0.010548710220725113,0.007842396385967731
ಕಲೆ,XL Lexeme,0.7916666666666666,0.7871565019088239,0.19151616967660648,0.28162556886672974
ಕಲೆ,IndicBERT,0.48916666666666664,0.4109993061783343,-0.007091936615816496,-0.011459034867584705
ಕಳೆ,MuRIL,0.9023809523809524,0.9021037442090073,0.6750139356078808,0.4600096046924591
ಕಳೆ,XLM-R,0.8223809523809524,0.8212523733576365,0.03751863635664991,0.19124366343021393
ಕಳೆ,XL Lexeme,0.9114285714285714,0.911285030758715,0.674983948543066,0.5653269290924072
ಕಳೆ,IndicBERT,0.5890476190476189,0.5833829342013485,-0.009809762866664873,0.009207582101225853
ಕಸರತ್ತು,MuRIL,0.9,0.8983885051996507,0.6353963014005961,0.47297391295433044
ಕಸರತ್ತು,XLM-R,0.7,0.6908730158730159,0.050754590022109004,0.13453659415245056
ಕಸರತ್ತು,XL Lexeme,0.9125,0.9109375248074938,0.6355715017939518,0.5828266143798828
ಕಸರತ್ತು,IndicBERT,0.4,0.39545963324601097,-0.010288461538461538,0.0005713829887099564
ಕೂಲಿ,MuRIL,0.7608333333333334,0.7592833800186742,0.2339047681662037,0.19116564095020294
ಕೂಲಿ,XLM-R,0.6191666666666666,0.618921568627451,0.08928483455127678,0.0914095938205719
ಕೂಲಿ,XL Lexeme,0.6708333333333333,0.6643815987933636,0.07297110738585938,0.0970151349902153
ಕೂಲಿ,IndicBERT,0.41833333333333333,0.408535630176497,-0.012471040567851333,-0.013671920634806156
ಕೇಸರಿ,MuRIL,0.930718954248366,0.9294214325406276,0.7373297224654355,0.43068501353263855
ಕೇಸರಿ,XLM-R,0.7555555555555555,0.7339939309056958,0.14638601113839153,0.15732255578041077
ಕೇಸರಿ,XL Lexeme,0.8725490196078433,0.8660157081667379,0.5140151651273942,0.41705748438835144
ಕೇಸರಿ,IndicBERT,0.4771241830065359,0.38782196064804764,-0.011758874211754653,0.00820173043757677
ಕೈಲಾಸ,MuRIL,0.941304347826087,0.9349032712500204,0.6995292349323666,0.4614576995372772
